| Series   |   Mass | EOS   |   trise |    kpush |    xi175 |    xi200 |    xi225 |   Outcome |   M_rem |   M_Fe |    M_CO |    M_He |     M_H |     E_exp |   t_bounce |    t_exp |    t_end |
| z        |   27   | NL3   |     0.4 | 4.08607  | 0.73058  | 0.374767 | 0.29588  |         0 | 1.73282 | 1.5398 |  7.8748 |  9.1979 | 17.8049 | 1.05936   |   0.389205 | 0.328234 | 7        |
| s        |   32   | TM1   |     0.4 | 4.25569  | 0.555043 | 0.328204 | 0.233285 |         0 | 1.66944 | 1.4809 |  8.3492 | 10.4413 |  1.5534 | 1.25526   |   0.371082 | 0.342291 | 7        |
| u        |   28   | TM1   |     0.4 | 2.53899  | 1.0642   | 0.548188 | 0.373418 |         0 | 1.92153 | 1.561  |  8.0816 |  9.8257 | 18.162  | 0.716859  |   0.406598 | 0.451707 | 2.09281  |
| w        |   20   | BHBlp |     0.4 | 3.43616  | 0.971191 | 0.467736 | 0.337228 |         0 | 1.85229 | 1.5482 |  4.9705 |  6.2056 |  9.7242 | 1.20224   |   0.384511 | 0.421594 | 7        |
| s        |   35   | NL3   |     0.4 | 4.25542  | 0.573542 | 0.328309 | 0.24583  |         0 | 1.67785 | 1.4881 |  9.1518 |  0      |  0      | 1.24588   |   0.381029 | 0.333621 | 7        |
| w        |   32   | BHBlp |     0.4 | 3.69189  | 0.881476 | 0.437648 | 0.309155 |         0 | 1.80935 | 1.5362 | 10.0703 | 11.2699 |  2.1445 | 0.807765  |   0.397938 | 0.405533 | 1.45585  |
| z        |   12   | NL3   |     0.4 | 2.77693  | 0.070751 | 0.021804 | 0        |         0 | 1.39762 | 1.3401 |  1.8102 |  2.5403 |  9.461  | 0.639614  |   0.258018 | 0.415404 | 7        |
| s        |   27   | TM1   |     0.4 | 4.28077  | 0.510435 | 0.317103 | 0.255072 |         0 | 1.66431 | 1.5074 |  7.196  |  9.0949 |  3.3552 | 1.16037   |   0.375372 | 0.325445 | 6.55782  |
| w        |   22   | BHBlp |     0.4 | 3.17453  | 1.00856  | 0.494276 | 0.339521 |         0 | 1.87714 | 1.5534 |  5.7866 |  7.0262 |  9.1394 | 1.09419   |   0.397282 | 0.444277 | 7        |
| z        |   21   | NL3   |     0.4 | 4.06022  | 0.274033 | 0.171096 | 0.137796 |         0 | 1.4969  | 1.4615 |  4.9669 |  6.187  | 14.8152 | 1.04807   |   0.316944 | 0.332462 | 1.81005  |
| u        |   19   | TM1   |     0.4 | 4.14053  | 0.309841 | 0.188576 | 0.153826 |         0 | 1.5808  | 1.4509 |  4.356  |  5.8919 | 13.1048 | 1.13388   |   0.353423 | 0.301988 | 7        |
| z        |   15   | NL3   |     0.4 | 3.86586  | 0.225451 | 0.137675 | 0.10051  |         0 | 1.47517 | 1.3247 |  2.7392 |  3.8004 | 11.2011 | 1.05801   |   0.24074  | 0.430354 | 3.37659  |
| z        |   20   | NL3   |     0.4 | 4.29638  | 0.401724 | 0.242809 | 0.18761  |         0 | 1.58923 | 1.4841 |  4.5505 |  5.8156 | 14.1864 | 1.31842   |   0.34045  | 0.317015 | 2.25844  |
| s        |   31   | NL3   |     0.4 | 4.31139  | 0.396949 | 0.254411 | 0.198592 |         0 | 1.5683  | 1.4489 |  8.4941 | 10.5605 |  1.152  | 1.16297   |   0.364529 | 0.318003 | 7        |
| u        |   30   | TM1   |     0.4 | 1.88014  | 1.09816  | 0.5946   | 0.414305 |         0 | 1.97996 | 1.5842 |  8.8809 | 10.605  | 19.3804 | 0.571331  |   0.41017  | 0.508966 | 7        |
| w        |   18   | BHBlp |     0.4 | 4.17581  | 0.735612 | 0.35367  | 0.237415 |         0 | 1.78238 | 1.4797 |  4.1584 |  5.4177 |  9.4068 | 1.59362   |   0.357016 | 0.422788 | 7        |
| s        |   29   | NL3   |     0.4 | 4.32103  | 0.415609 | 0.282376 | 0.217253 |         0 | 1.59513 | 1.5342 |  7.5799 |  9.5306 |  3.0839 | 1.28581   |   0.350265 | 0.363623 | 7        |
| u        |   26   | TM1   |     0.4 | 3.16045  | 1.04376  | 0.495613 | 0.336887 |         0 | 1.89164 | 1.589  |  6.9932 |  8.6881 | 17.3026 | 0.810333  |   0.415645 | 0.386303 | 2.29896  |
| s        |   30   | NL3   |     0.4 | 4.03716  | 0.56764  | 0.38456  | 0.252143 |         0 | 1.68617 | 1.4619 |  9.1209 | 10.0138 |  2.2297 | 1.52011   |   0.351688 | 0.413933 | 7        |
| s        |   37   | TM1   |     0.4 | 3.22941  | 0.765771 | 0.488982 | 0.337718 |         0 | 1.81369 | 1.4652 |  8.2546 |  0      |  0      | 1.46384   |   0.361418 | 0.448174 | 7        |
| s        |   37   | NL3   |     0.4 | 3.3835   | 0.739679 | 0.473364 | 0.323548 |         0 | 1.80862 | 1.4652 |  8.2546 |  0      |  0      | 1.56641   |   0.361453 | 0.439735 | 7        |
| z        |   16   | NL3   |     0.4 | 3.8876   | 0.236129 | 0.141    | 0.10274  |         0 | 1.48593 | 1.3421 |  3.0093 |  3.9937 | 12.0079 | 1.09743   |   0.275349 | 0.341575 | 1.64975  |
| s        |   28   | NL3   |     0.4 | 4.28422  | 0.510281 | 0.315334 | 0.25435  |         0 | 1.65235 | 1.505  |  8.2251 |  9.4108 |  3.2596 | 1.19489   |   0.374267 | 0.305828 | 7        |
| u        |   25   | TM1   |     0.4 | 3.91708  | 0.930001 | 0.405506 | 0.256582 |         0 | 1.84726 | 1.5302 |  6.6807 |  8.4008 | 16.5906 | 0.98325   |   0.406953 | 0.369346 | 2.05417  |
| s        |   32   | NL3   |     0.4 | 4.2843   | 0.562351 | 0.315292 | 0.234974 |         0 | 1.66697 | 1.4809 |  8.3492 | 10.4413 |  1.5534 | 1.31539   |   0.371111 | 0.337317 | 7        |
| u        |   30   | NL3   |     0.4 | 1.52118  | 1.08966  | 0.617244 | 0.405922 |         0 | 2.01733 | 1.5842 |  8.8809 | 10.605  | 19.3804 | 0.397897  |   0.410218 | 0.605157 | 7        |
| w        |   17   | BHBlp |     0.4 | 4.2867   | 0.368059 | 0.237142 | 0.189786 |         0 | 1.5553  | 1.4077 |  3.8085 |  5.0568 |  9.0603 | 1.25766   |   0.312359 | 0.334027 | 7        |
| s        |   28   | TM1   |     0.4 | 4.28966  | 0.503548 | 0.312371 | 0.252698 |         0 | 1.65422 | 1.505  |  8.2251 |  9.4108 |  3.2596 | 1.15079   |   0.374238 | 0.309358 | 6.86132  |
| u        |   16   | TM1   |     0.4 | 3.89447  | 0.703916 | 0.409084 | 0.291064 |         0 | 1.75519 | 1.3997 |  3.2607 |  4.655  | 11.3434 | 1.85839   |   0.338944 | 0.402809 | 7        |
| z        |   17   | NL3   |     0.4 | 4.13022  | 0.675831 | 0.365011 | 0.257062 |         0 | 1.74211 | 1.5874 |  3.1609 |  4.3919 | 12.6098 | 1.9178    |   0.346409 | 0.39286  | 7        |
| s        |   30   | TM1   |     0.4 | 4.0488   | 0.592516 | 0.38231  | 0.265323 |         0 | 1.68682 | 1.4619 |  9.1209 | 10.0138 |  2.2297 | 1.49052   |   0.351659 | 0.413353 | 7        |
| u        |   27   | TM1   |     0.4 | 3.21916  | 1.03593  | 0.489981 | 0.33075  |         0 | 1.88305 | 1.6046 |  7.3558 |  9.0703 | 17.9194 | 0.780872  |   0.414158 | 0.381375 | 2.0055   |
| z        |   19   | NL3   |     0.4 | 4.32092  | 0.431219 | 0.268426 | 0.211727 |         0 | 1.59614 | 1.4737 |  4.0386 |  5.2536 | 13.7483 | 1.42102   |   0.342888 | 0.305386 | 7        |
| u        |   24   | TM1   |     0.4 | 1.36711  | 1.12983  | 0.626515 | 0.386743 |         0 | 2.02826 | 1.625  |  6.1742 |  7.825  | 16.1678 | 0.387756  |   0.414887 | 0.615124 | 7        |
| s        |   33   | NL3   |     0.4 | 4.0898   | 0.697256 | 0.37398  | 0.278095 |         0 | 1.72677 | 1.5122 |  8.9325 | 11.3198 |  0.1198 | 1.27172   |   0.389507 | 0.344507 | 7        |
